cell_id,scenario,snr_db,beam_index,nmse_mmse,nmse_ai,attack_type,attack_severity,trust_score,step,ue_count,load,twin_fidelity,x_m,y_m
CELL_014,RMa,-0.4,16,0.670483,0.203165,normal,0.0,0.9663,39,17,0.302,0.9437,366.8,367.7
CELL_015,FR2-mmWave,-5.0,25,0.067743,0.03041,normal,0.0,0.987,39,12,0.376,0.9576,507.3,358.3
CELL_016,UMa,-5.0,9,0.778154,0.349313,normal,0.0,0.9953,39,26,0.872,0.9321,644.5,352.9
CELL_017,RIS,9.99,21,0.340388,0.110632,normal,0.0,0.9981,39,27,0.784,0.9511,799.1,340.6
CELL_018,UMi,9.4,3,0.320072,0.042931,false_csi_injection,0.6099,0.3723,39,23,0.387,0.92,41.3,489.9
CELL_019,UMi,11.63,3,0.356366,0.087629,normal,0.0,0.9823,39,12,0.571,0.953,196.4,495.3
CELL_020,UMa,12.85,29,0.007376,0.002057,normal,0.0,0.9967,39,21,0.671,0.9598,350.3,483.0
CELL_021,RIS,11.3,1,1.2,0.292075,false_csi_injection,0.9065,0.0632,39,34,0.899,0.8822,499.5,507.6
CELL_022,RMa,26.32,14,0.022882,0.002324,normal,0.0,0.9976,39,20,0.351,0.9598,675.3,493.8
CELL_023,InH,6.06,23,0.007727,0.00197,normal,0.0,0.9948,39,22,0.873,0.9598,811.0,507.5
CELL_000,InH,19.28,15,0.002,0.001,normal,0.0,0.9823,40,8,0.937,0.9599,76.6,43.4
CELL_001,InH,8.75,4,0.002,0.001,normal,0.0,0.9895,40,22,0.74,0.9599,207.8,45.6
CELL_002,UMa,1.6,21,0.203651,0.061011,normal,0.0,0.955,40,14,0.664,0.9551,361.1,30.2
CELL_003,UMi,15.61,21,0.009917,0.002063,normal,0.0,0.9613,40,24,0.802,0.9598,505.3,59.9
CELL_004,NTN-LEO,10.24,3,0.009189,0.001378,data_poisoning,0.3466,0.604,40,21,0.472,0.9391,647.8,37.4
CELL_005,THz,12.48,30,1.2,0.513699,normal,0.0,0.9784,40,21,0.243,0.9189,801.6,49.9
CELL_006,THz,6.48,27,0.002,0.001,csi_spoofing,0.2414,0.722,40,22,0.66,0.9454,63.3,184.3
CELL_007,RIS,-5.0,24,0.274916,0.12341,normal,0.0,0.966,40,8,0.384,0.9501,198.6,215.8
CELL_008,UMa,14.29,29,0.016344,0.002889,normal,0.0,0.98,40,27,0.904,0.9598,326.9,189.2
CELL_009,THz,25.43,24,0.002,0.001,pilot_contamination,0.9686,0.05,40,31,0.407,0.9018,472.1,212.5
CELL_010,RIS,4.78,10,0.156686,0.054337,normal,0.0,0.9708,40,8,0.745,0.9557,636.0,217.2
CELL_011,RMa,12.49,28,0.005192,0.001,normal,0.0,0.9515,40,16,0.377,0.9599,800.9,189.0
CELL_012,UMi,-0.5,2,0.129871,0.039397,normal,0.0,0.9512,40,35,0.813,0.9568,35.8,343.8
CELL_013,THz,24.57,13,0.004524,0.001,backdoor,0.6034,0.3581,40,32,0.316,0.9237,202.2,358.8
CELL_014,RIS,14.33,8,0.399465,0.0739,false_csi_injection,0.1615,0.817,40,35,0.671,0.9444,341.0,347.7
CELL_015,UMa,9.46,2,1.077362,0.138814,pilot_contamination,0.6645,0.1987,40,9,0.756,0.909,498.6,348.4
CELL_016,RIS,19.14,10,0.002,0.001,normal,0.0,0.9928,40,21,0.938,0.9599,645.7,355.5
CELL_017,UMi,11.6,27,0.044193,0.013563,normal,0.0,0.9659,40,19,0.282,0.9589,785.1,358.5
CELL_018,UMi,-1.79,28,0.085375,0.018864,backdoor,0.3924,0.6049,40,26,0.883,0.9349,38.2,510.1
CELL_019,UMa,14.76,7,0.041049,0.007716,normal,0.0,0.9836,40,21,0.855,0.9594,200.9,528.5
CELL_020,THz,16.76,0,0.005504,0.001,normal,0.0,0.97,40,20,0.49,0.9599,353.6,496.4
CELL_021,UMa,16.08,24,0.004734,0.001,normal,0.0,0.9637,40,25,0.746,0.9599,494.0,512.4
CELL_022,RMa,20.74,16,0.002353,0.001,normal,0.0,0.9508,40,24,0.488,0.9599,655.7,501.9
CELL_023,RMa,0.19,10,0.515718,0.155188,normal,0.0,0.9879,40,36,0.397,0.9476,793.7,492.0
CELL_000,RMa,20.01,21,0.00924,0.001132,normal,0.0,0.9693,41,20,0.795,0.9599,42.2,40.2
CELL_001,FR2-mmWave,13.86,23,0.128564,0.036298,normal,0.0,0.9581,41,25,0.915,0.9571,199.2,40.2
CELL_002,InH,14.71,18,0.005416,0.001,data_poisoning,0.6138,0.3495,41,25,0.437,0.9231,344.0,69.4
CELL_003,InH,24.94,25,0.008095,0.001,normal,0.0,0.9544,41,18,0.503,0.9599,490.2,61.9
CELL_004,NTN-LEO,14.95,0,0.16453,0.037051,normal,0.0,0.9914,41,18,0.33,0.957,652.4,43.1
CELL_005,THz,14.74,16,0.002,0.001,csi_spoofing,0.1797,0.7736,41,22,0.387,0.9491,811.7,68.9
CELL_006,NTN-LEO,24.03,9,0.002,0.001,normal,0.0,0.9758,41,27,0.928,0.9599,11.1,204.5
CELL_007,FR2-mmWave,15.81,9,0.002822,0.001,normal,0.0,0.9784,41,35,0.204,0.9599,206.2,199.7
CELL_008,FR2-mmWave,15.24,11,0.006486,0.001057,normal,0.0,0.9733,41,37,0.202,0.9599,361.7,189.1
CELL_009,NTN-LEO,13.07,20,0.092893,0.016681,normal,0.0,0.9999,41,36,0.601,0.9587,473.7,200.6
CELL_010,UMa,4.46,27,0.002,0.001,data_poisoning,0.7431,0.2315,41,28,0.873,0.9153,636.7,185.1
CELL_011,InH,15.25,5,0.00351,0.001,normal,0.0,0.9628,41,30,0.431,0.9599,803.7,210.1
CELL_012,RMa,20.36,18,0.047267,0.003752,adversarial,0.5451,0.4426,41,36,0.415,0.927,57.9,349.7
CELL_013,InH,8.13,6,0.081127,0.013623,pilot_contamination,0.6856,0.1736,41,20,0.563,0.9178,187.7,359.5
CELL_014,RMa,6.51,30,0.146917,0.035207,normal,0.0,0.9947,41,35,0.814,0.9572,362.9,339.1
CELL_015,RIS,15.58,8,0.066147,0.015294,normal,0.0,0.9981,41,26,0.801,0.9588,497.5,357.0
CELL_016,FR2-mmWave,1.21,5,0.007052,0.002088,normal,0.0,0.9574,41,22,0.794,0.9598,666.4,353.2
CELL_017,NTN-LEO,13.83,30,0.059068,0.012291,normal,0.0,0.9705,41,13,0.87,0.959,785.2,339.0
CELL_018,UMa,15.29,18,0.216438,0.038869,normal,0.0,0.9663,41,25,0.856,0.9569,63.1,500.0
CELL_019,NTN-LEO,-2.67,31,0.021423,0.006906,normal,0.0,0.9818,41,35,0.501,0.9594,186.4,514.6
CELL_020,RMa,3.05,11,0.006828,0.001909,normal,0.0,0.9886,41,10,0.566,0.9598,352.1,488.6
CELL_021,UMa,6.46,26,0.256533,0.041885,jamming,0.7351,0.05,41,26,0.688,0.9125,496.8,490.2
CELL_022,THz,-5.0,19,1.2,0.9,normal,0.0,0.9504,41,39,0.324,0.888,634.5,495.2
CELL_023,RIS,1.74,20,1.2,0.653274,normal,0.0,0.9872,41,28,0.416,0.9077,801.8,493.7
CELL_000,UMi,12.01,26,0.32858,0.058134,csi_spoofing,0.8827,0.0748,42,36,0.531,0.9024,56.7,46.6
CELL_001,RMa,13.18,18,0.002767,0.001,normal,0.0,0.974,42,27,0.259,0.9599,188.5,15.2
CELL_002,UMa,16.12,27,0.019818,0.003494,normal,0.0,0.964,42,38,0.526,0.9597,355.8,50.0
CELL_003,RMa,21.82,4,0.004111,0.001,normal,0.0,0.9516,42,39,0.209,0.9599,492.0,31.4
CELL_004,RMa,18.84,3,0.01187,0.001,jamming,0.5711,0.185,42,13,0.509,0.9257,666.3,66.7
CELL_005,UMa,-2.95,18,0.431196,0.136838,normal,0.0,0.9655,42,22,0.206,0.9491,803.9,48.7
CELL_006,UMa,14.84,12,0.185685,0.018718,pilot_contamination,0.6604,0.1814,42,33,0.815,0.9189,56.5,179.9
CELL_007,UMa,18.91,12,0.007895,0.001036,normal,0.0,0.9983,42,25,0.536,0.9599,205.3,213.6
CELL_008,UMi,22.02,21,0.003589,0.001,normal,0.0,0.9939,42,17,0.217,0.9599,353.4,211.2
CELL_009,FR2-mmWave,-0.43,27,0.180278,0.056266,normal,0.0,0.9677,42,10,0.643,0.9555,495.4,198.2
CELL_010,RMa,5.67,2,0.072397,0.017653,normal,0.0,0.9656,42,14,0.601,0.9586,639.3,197.2
CELL_011,InH,12.39,27,0.002,0.001,normal,0.0,0.9509,42,10,0.501,0.9599,783.1,156.9
CELL_012,RMa,26.37,13,0.002,0.001,normal,0.0,0.9759,42,26,0.638,0.9599,44.0,337.7
CELL_013,InH,19.23,19,0.006986,0.001232,normal,0.0,0.9766,42,11,0.42,0.9599,203.2,346.8
CELL_014,RMa,10.86,25,0.12845,0.028053,normal,0.0,0.9659,42,20,0.358,0.9578,367.2,349.0
CELL_015,FR2-mmWave,-5.0,26,0.717436,0.290809,normal,0.0,0.9823,42,23,0.364,0.9367,501.8,342.1
CELL_016,UMi,9.62,30,0.002,0.001,normal,0.0,0.9806,42,26,0.383,0.9599,648.3,345.9
CELL_017,THz,35.0,10,0.002,0.001,normal,0.0,0.9594,42,8,0.536,0.9599,812.0,344.7
CELL_018,RIS,11.24,5,0.312565,0.097169,normal,0.0,0.9609,42,15,0.665,0.9522,48.8,471.5
CELL_019,NTN-LEO,29.61,4,0.00512,0.001,normal,0.0,0.987,42,35,0.705,0.9599,191.4,494.7
CELL_020,UMi,9.45,13,0.081852,0.01262,false_csi_injection,0.9434,0.05,42,22,0.577,0.9024,338.6,492.9
CELL_021,UMi,14.03,27,0.007236,0.00203,normal,0.0,0.9859,42,21,0.782,0.9598,496.4,492.4
CELL_022,NTN-LEO,4.16,11,0.163183,0.047208,adversarial,0.3497,0.6471,42,36,0.914,0.9352,639.5,515.7
CELL_023,NTN-LEO,4.08,30,0.512809,0.174482,normal,0.0,0.9946,42,37,0.945,0.946,796.8,469.1
CELL_000,FR2-mmWave,15.63,2,0.002,0.001,normal,0.0,0.977,43,22,0.247,0.9599,67.3,50.8
CELL_001,NTN-LEO,26.72,3,0.002,0.001,normal,0.0,0.9518,43,9,0.939,0.9599,206.9,51.8
CELL_002,UMi,-4.64,6,0.771082,0.233912,normal,0.0,0.9997,43,33,0.652,0.9413,367.5,48.1
CELL_003,RMa,19.01,6,0.010462,0.001,pilot_contamination,0.5848,0.2733,43,29,0.721,0.9248,479.6,52.0
CELL_004,RIS,22.55,23,0.008572,0.001694,normal,0.0,0.95,43,38,0.592,0.9599,650.2,45.4
CELL_005,UMa,20.1,5,0.002,0.001,false_csi_injection,0.8991,0.0749,43,32,0.771,0.906,772.9,52.9
CELL_006,UMi,21.67,30,0.017618,0.001236,jamming,0.4756,0.2974,43,36,0.589,0.9314,59.4,204.6
CELL_007,THz,18.14,9,0.005975,0.001427,normal,0.0,0.9564,43,35,0.624,0.9599,209.6,191.8
CELL_008,UMa,-2.85,31,0.918853,0.334473,normal,0.0,0.963,43,17,0.553,0.9332,337.0,221.3
CELL_009,UMi,6.38,27,0.040935,0.00538,jamming,0.8516,0.05,43,32,0.851,0.9085,494.0,204.9
CELL_010,InH,3.67,4,0.407313,0.109284,false_csi_injection,0.519,0.459,43,26,0.42,0.9201,658.8,189.9
CELL_011,NTN-LEO,4.74,5,0.279994,0.051934,jamming,0.268,0.619,43,20,0.826,0.9398,789.8,208.5
CELL_012,UMa,10.46,5,0.002229,0.001,false_csi_injection,0.8508,0.1253,43,29,0.491,0.9089,58.9,345.3
CELL_013,NTN-LEO,11.26,31,0.183714,0.057081,normal,0.0,0.9745,43,39,0.747,0.9554,209.6,316.2
CELL_014,THz,15.32,8,0.002,0.001,normal,0.0,0.9725,43,22,0.298,0.9599,352.5,348.4
CELL_015,FR2-mmWave,9.28,18,0.020143,0.004892,jamming,0.2555,0.6333,43,17,0.694,0.9443,492.0,362.2
CELL_016,UMa,0.16,0,0.437911,0.132334,normal,0.0,0.9653,43,36,0.403,0.9494,650.3,334.9
CELL_017,RIS,6.03,13,0.013846,0.005147,normal,0.0,0.9715,43,29,0.478,0.9596,795.2,356.0
CELL_018,THz,8.93,31,0.004682,0.001579,normal,0.0,0.992,43,11,0.561,0.9599,54.8,507.7
CELL_019,UMa,8.99,19,1.100404,0.246641,normal,0.0,0.9976,43,13,0.347,0.9403,214.7,494.4
CELL_020,THz,15.37,3,0.002,0.001,normal,0.0,0.9999,43,21,0.34,0.9599,364.3,497.3
CELL_021,RIS,9.68,29,1.057862,0.28099,normal,0.0,0.9863,43,10,0.201,0.9375,488.4,491.3
CELL_022,RIS,7.27,26,0.025437,0.009075,normal,0.0,0.9584,43,37,0.766,0.9593,673.5,482.4
CELL_023,FR2-mmWave,18.53,6,0.00581,0.001184,normal,0.0,0.9574,43,9,0.739,0.9599,806.8,523.9
CELL_000,UMa,9.22,27,0.002,0.001,csi_spoofing,0.1995,0.7961,44,22,0.401,0.948,48.3,69.7
CELL_001,NTN-LEO,12.1,29,0.034041,0.006277,normal,0.0,0.9655,44,15,0.421,0.9595,185.5,61.7
CELL_002,THz,8.98,11,0.139976,0.033794,normal,0.0,0.9568,44,25,0.656,0.9573,342.2,49.6
CELL_003,InH,-2.33,8,0.610064,0.273858,normal,0.0,0.9979,44,11,0.214,0.9381,506.2,45.9
CELL_004,UMa,17.71,15,0.067459,0.010062,normal,0.0,0.9885,44,17,0.919,0.9592,633.0,47.4
CELL_005,RMa,-2.98,2,1.153554,0.303716,false_csi_injection,0.1305,0.8271,44,20,0.73,0.9279,802.0,34.0
CELL_006,UMa,8.18,25,0.34272,0.096437,normal,0.0,0.981,44,32,0.817,0.9523,67.9,203.0
CELL_007,NTN-LEO,25.25,14,0.002,0.001,normal,0.0,0.9833,44,13,0.319,0.9599,193.2,181.1
CELL_008,UMa,2.14,10,0.431324,0.127734,normal,0.0,0.9645,44,11,0.859,0.9498,359.4,200.0
CELL_009,InH,11.7,1,0.30719,0.059691,normal,0.0,0.9777,44,29,0.893,0.9552,492.8,224.0
CELL_010,InH,2.29,6,1.2,0.374309,csi_spoofing,0.4915,0.5046,44,19,0.238,0.9006,668.2,222.4
CELL_011,UMa,11.91,18,0.036116,0.007132,csi_spoofing,0.4745,0.4963,44,23,0.673,0.931,797.6,209.0
CELL_012,FR2-mmWave,5.62,22,0.02985,0.011247,normal,0.0,0.97,44,36,0.276,0.9591,33.6,319.1
CELL_013,RIS,14.48,24,0.057142,0.009789,normal,0.0,0.9951,44,13,0.436,0.9592,212.6,351.5
CELL_014,RIS,17.56,15,0.01492,0.003647,normal,0.0,0.983,44,37,0.939,0.9597,345.4,323.9
CELL_015,RIS,12.52,13,0.776001,0.155233,csi_spoofing,0.1586,0.7952,44,11,0.444,0.9381,488.5,357.3
CELL_016,FR2-mmWave,9.76,8,0.06456,0.018758,normal,0.0,0.9687,44,16,0.678,0.9585,638.7,342.8
CELL_017,THz,6.88,21,0.01715,0.006198,normal,0.0,0.985,44,37,0.408,0.9595,807.6,350.8
CELL_018,UMa,13.19,15,0.014925,0.004322,normal,0.0,0.9507,44,16,0.775,0.9597,39.4,480.2
CELL_019,RIS,11.68,30,0.002,0.001,normal,0.0,0.9896,44,28,0.529,0.9599,191.1,509.6
CELL_020,UMa,17.08,12,0.004828,0.001,normal,0.0,0.9899,44,15,0.894,0.9599,362.6,503.4
CELL_021,InH,17.88,2,0.004254,0.001026,normal,0.0,0.971,44,32,0.512,0.9599,492.3,499.7
CELL_022,THz,14.31,14,0.003732,0.001036,normal,0.0,0.961,44,21,0.236,0.9599,642.0,501.8
CELL_023,RIS,19.41,3,0.002,0.001,normal,0.0,0.9799,44,10,0.353,0.9599,800.2,519.8
CELL_000,RIS,9.72,1,0.303658,0.088382,normal,0.0,0.9866,45,24,0.835,0.9529,64.6,30.3
CELL_001,NTN-LEO,11.67,11,0.002314,0.001,normal,0.0,0.9891,45,11,0.841,0.9599,198.5,63.6
CELL_002,NTN-LEO,13.08,16,0.022813,0.003676,pilot_contamination,0.571,0.3136,45,37,0.563,0.9254,353.0,40.9
CELL_003,UMa,14.53,3,0.015356,0.001844,csi_spoofing,0.6513,0.3343,45,8,0.862,0.9208,491.8,25.2
CELL_004,RIS,-0.93,30,0.667468,0.299627,normal,0.0,0.9844,45,12,0.59,0.936,649.5,34.5
CELL_005,UMi,17.5,18,0.012381,0.003034,normal,0.0,0.9716,45,33,0.763,0.9598,816.7,51.1
CELL_006,UMi,11.7,10,0.030845,0.00595,normal,0.0,0.9906,45,28,0.383,0.9595,48.6,208.1
CELL_007,THz,8.67,8,0.034376,0.011694,normal,0.0,0.9887,45,8,0.363,0.9591,205.0,189.6
CELL_008,NTN-LEO,32.52,20,0.002,0.001,normal,0.0,0.9669,45,21,0.774,0.9599,348.5,177.8
CELL_009,FR2-mmWave,3.29,28,0.462324,0.142789,pilot_contamination,0.2425,0.687,45,30,0.917,0.934,506.1,207.8
CELL_010,UMa,11.94,4,0.013699,0.002865,normal,0.0,0.9861,45,31,0.562,0.9598,648.0,204.8
CELL_011,RIS,15.94,24,0.002,0.001,normal,0.0,0.984,45,18,0.485,0.9599,811.9,215.2
CELL_012,FR2-mmWave,21.65,8,0.002,0.001,normal,0.0,0.9956,45,23,0.685,0.9599,50.0,344.0
CELL_013,FR2-mmWave,4.12,27,0.020147,0.005345,normal,0.0,0.9662,45,14,0.378,0.9596,203.9,345.8
CELL_014,THz,4.47,20,0.010785,0.004216,normal,0.0,0.9963,45,18,0.885,0.9597,343.0,343.2
CELL_015,RMa,14.3,6,0.002,0.001,normal,0.0,0.9752,45,29,0.78,0.9599,487.4,370.8
CELL_016,FR2-mmWave,7.58,28,0.007604,0.002684,normal,0.0,0.9956,45,37,0.602,0.9598,662.6,365.5
CELL_017,FR2-mmWave,8.1,3,1.2,0.284413,csi_spoofing,0.7547,0.2122,45,8,0.859,0.892,814.6,329.4
CELL_018,NTN-LEO,15.59,26,0.003714,0.001,normal,0.0,0.9641,45,30,0.297,0.9599,54.3,504.1
CELL_019,NTN-LEO,22.41,28,0.015899,0.001294,csi_spoofing,0.285,0.6891,45,36,0.51,0.9428,201.1,506.1
CELL_020,InH,19.51,17,0.002,0.001,normal,0.0,0.9645,45,29,0.875,0.9599,357.2,520.9
CELL_021,UMa,10.04,31,0.193034,0.041775,normal,0.0,0.9966,45,19,0.619,0.9567,497.3,478.2
CELL_022,THz,20.15,18,0.002,0.001,normal,0.0,0.9807,45,37,0.597,0.9599,664.8,499.7
CELL_023,UMi,24.44,17,0.002,0.001,normal,0.0,0.9608,45,24,0.798,0.9599,808.6,495.4
CELL_000,NTN-LEO,11.05,15,0.029633,0.009277,normal,0.0,0.9947,46,25,0.282,0.9593,44.3,48.6
CELL_001,FR2-mmWave,13.55,26,0.002,0.001,adversarial,0.5061,0.4533,46,32,0.21,0.9296,181.9,57.0
CELL_002,RIS,17.52,8,0.025074,0.00364,normal,0.0,0.9748,46,14,0.758,0.9597,360.1,32.8
CELL_003,FR2-mmWave,9.55,16,0.059586,0.01265,normal,0.0,0.9804,46,21,0.243,0.959,486.7,55.7
CELL_004,InH,10.66,22,0.017642,0.003592,normal,0.0,0.9797,46,20,0.849,0.9597,654.8,51.3
CELL_005,FR2-mmWave,1.86,19,0.85444,0.301103,normal,0.0,0.9738,46,10,0.41,0.9359,821.0,58.6
CELL_006,RIS,7.14,20,0.002,0.001,normal,0.0,0.958,46,37,0.601,0.9599,33.2,185.4
CELL_007,UMa,16.41,4,0.016064,0.00256,normal,0.0,0.9764,46,23,0.326,0.9598,205.8,184.3
CELL_008,NTN-LEO,8.14,28,0.004029,0.001396,normal,0.0,0.9657,46,8,0.432,0.9599,361.3,211.0
CELL_009,FR2-mmWave,10.86,30,0.003954,0.001103,normal,0.0,0.9724,46,9,0.716,0.9599,500.8,185.5
CELL_010,UMi,0.84,13,0.215558,0.065052,normal,0.0,0.9718,46,38,0.366,0.9548,651.1,196.9
CELL_011,RMa,-0.69,15,0.002,0.001,false_csi_injection,0.6634,0.3323,46,25,0.876,0.9201,793.0,191.2
CELL_012,RIS,8.04,0,1.2,0.330437,pilot_contamination,0.6602,0.2035,46,29,0.761,0.894,35.9,356.3
CELL_013,RIS,12.65,11,0.002,0.001,normal,0.0,0.9674,46,39,0.228,0.9599,199.0,349.2
CELL_014,THz,21.77,20,0.002,0.001,normal,0.0,0.9973,46,33,0.573,0.9599,351.8,348.1
CELL_015,RIS,9.28,15,0.016552,0.003554,normal,0.0,0.9602,46,15,0.689,0.9597,510.6,341.8
CELL_016,RMa,24.41,7,0.002,0.001,normal,0.0,0.977,46,24,0.912,0.9599,663.5,336.2
CELL_017,FR2-mmWave,16.74,27,0.181579,0.038365,backdoor,0.168,0.8216,46,15,0.36,0.9469,798.5,348.9
CELL_018,THz,18.23,14,0.002,0.001,normal,0.0,0.9746,46,16,0.8,0.9599,52.0,494.0
CELL_019,THz,15.84,12,0.009758,0.001744,normal,0.0,0.96,46,26,0.821,0.9599,181.2,514.9
CELL_020,UMi,5.69,17,0.020768,0.00521,normal,0.0,0.9782,46,32,0.23,0.9596,364.0,498.7
CELL_021,InH,13.39,26,0.013353,0.002488,normal,0.0,0.9675,46,33,0.741,0.9598,478.0,503.2
CELL_022,NTN-LEO,5.66,5,0.034932,0.008657,normal,0.0,0.985,46,32,0.614,0.9593,636.9,489.4
CELL_023,NTN-LEO,8.34,2,0.108782,0.02552,normal,0.0,0.9507,46,14,0.534,0.958,792.8,501.8
CELL_000,FR2-mmWave,5.05,21,0.639883,0.156557,pilot_contamination,0.5255,0.3282,47,9,0.286,0.9159,42.1,41.2
CELL_001,NTN-LEO,33.59,1,0.002,0.001,normal,0.0,0.9709,47,24,0.831,0.9599,205.3,44.1
CELL_002,InH,19.22,10,0.010501,0.001588,normal,0.0,0.9558,47,33,0.547,0.9599,350.8,49.9
CELL_003,UMi,3.06,8,0.152965,0.043784,false_csi_injection,0.4282,0.5576,47,37,0.716,0.9308,499.6,58.6
CELL_004,RMa,7.89,15,0.237513,0.056972,normal,0.0,0.9834,47,9,0.81,0.9554,632.8,35.9
CELL_005,UMi,13.57,13,0.005018,0.001,normal,0.0,0.9817,47,23,0.216,0.9599,801.7,41.5
CELL_006,NTN-LEO,11.92,5,1.2,0.346819,csi_spoofing,0.3053,0.6783,47,27,0.705,0.9139,48.2,211.2
CELL_007,THz,5.81,24,0.012633,0.00473,normal,0.0,0.9957,47,34,0.369,0.9596,209.5,200.4
CELL_008,RMa,12.59,17,0.059496,0.010936,normal,0.0,0.9998,47,31,0.722,0.9591,345.2,206.8
CELL_009,UMi,19.01,5,0.002,0.001,normal,0.0,0.9891,47,39,0.787,0.9599,493.7,193.7
CELL_010,UMi,18.87,4,0.002717,0.001,normal,0.0,0.9715,47,9,0.885,0.9599,664.1,193.7
CELL_011,THz,3.77,19,0.148284,0.05929,normal,0.0,0.9557,47,13,0.68,0.9553,801.3,178.6
CELL_012,InH,18.07,25,0.004146,0.001,normal,0.0,0.9683,47,10,0.435,0.9599,57.4,339.2
CELL_013,UMa,25.58,6,0.002,0.001,normal,0.0,0.9722,47,20,0.54,0.9599,207.9,351.8
CELL_014,UMi,5.69,1,1.2,0.487382,normal,0.0,0.9613,47,13,0.319,0.921,348.5,347.6
CELL_015,THz,10.92,8,0.057441,0.01279,normal,0.0,0.9805,47,25,0.822,0.959,492.1,352.1
CELL_016,UMi,21.64,21,0.002,0.001,normal,0.0,0.9506,47,27,0.934,0.9599,653.0,333.7
CELL_017,NTN-LEO,10.85,6,0.011573,0.003648,normal,0.0,0.9777,47,32,0.328,0.9597,790.6,349.7
CELL_018,RIS,16.72,29,0.002,0.001,normal,0.0,0.957,47,16,0.338,0.9599,54.7,504.5
CELL_019,RMa,16.75,20,0.143453,0.021507,normal,0.0,0.9623,47,39,0.845,0.9583,198.1,503.4
CELL_020,InH,8.24,9,0.027261,0.007653,normal,0.0,0.9865,47,25,0.75,0.9594,330.8,506.5
CELL_021,NTN-LEO,12.4,0,0.00899,0.00268,normal,0.0,0.9984,47,37,0.645,0.9598,493.1,505.8
CELL_022,InH,7.76,13,0.059189,0.015004,normal,0.0,0.9613,47,33,0.33,0.9588,666.1,509.2
CELL_023,UMa,29.71,28,0.002,0.001,normal,0.0,0.9981,47,39,0.765,0.9599,790.6,496.2
CELL_000,RIS,25.11,4,0.002,0.001,normal,0.0,0.9719,48,21,0.642,0.9599,59.1,32.3
CELL_001,RIS,11.19,4,0.044447,0.011127,normal,0.0,0.9686,48,37,0.227,0.9591,212.5,51.9
CELL_002,FR2-mmWave,-5.0,17,1.018906,0.389161,adversarial,0.1489,0.8193,48,24,0.294,0.9199,383.3,42.0
CELL_003,RMa,28.11,13,0.005713,0.001,jamming,0.6716,0.05,48,22,0.758,0.9196,496.3,58.5
CELL_004,RMa,19.14,15,0.018401,0.002369,normal,0.0,0.9588,48,39,0.698,0.9598,635.5,56.1
CELL_005,RIS,22.96,7,0.002,0.001,normal,0.0,0.9615,48,28,0.462,0.9599,824.6,50.2
CELL_006,THz,20.66,17,0.002,0.001,normal,0.0,0.9638,48,22,0.501,0.9599,61.3,185.3
CELL_007,UMi,16.28,5,0.00548,0.001,data_poisoning,0.784,0.1933,48,11,0.447,0.9129,209.6,196.6
CELL_008,RIS,18.33,1,0.079537,0.018843,normal,0.0,0.9866,48,25,0.788,0.9585,347.2,197.4
CELL_009,NTN-LEO,8.11,20,0.122257,0.027398,normal,0.0,0.9973,48,20,0.456,0.9578,482.7,196.8
CELL_010,THz,-0.64,27,0.022219,0.009974,normal,0.0,0.9897,48,24,0.242,0.9592,649.7,197.7
CELL_011,UMi,6.09,3,0.096295,0.023777,normal,0.0,0.9681,48,20,0.279,0.9581,797.1,180.1
CELL_012,UMi,7.43,26,0.051461,0.018263,normal,0.0,0.9695,48,37,0.56,0.9585,36.7,359.9
CELL_013,FR2-mmWave,13.83,30,0.010771,0.003046,normal,0.0,0.9594,48,24,0.256,0.9598,204.2,348.9
CELL_014,UMa,8.13,20,0.123882,0.018999,false_csi_injection,0.4395,0.5525,48,15,0.239,0.9321,351.0,341.9
CELL_015,RIS,11.32,26,0.002,0.001,normal,0.0,0.9754,48,13,0.474,0.9599,501.3,353.7
CELL_016,UMa,7.52,3,0.002,0.001,normal,0.0,0.9862,48,37,0.775,0.9599,643.6,350.1
CELL_017,InH,19.28,1,0.027729,0.003693,normal,0.0,0.9707,48,32,0.868,0.9597,815.0,347.0
CELL_018,THz,-3.82,21,0.712878,0.320011,normal,0.0,0.9688,48,30,0.279,0.9344,66.5,499.3
CELL_019,UMa,12.88,28,0.005504,0.001287,normal,0.0,0.9743,48,32,0.565,0.9599,203.6,501.5
CELL_020,InH,18.61,1,0.003052,0.001,normal,0.0,0.9764,48,28,0.324,0.9599,379.6,496.6
CELL_021,UMa,10.27,15,0.005599,0.001127,normal,0.0,0.9517,48,29,0.258,0.9599,509.7,492.6
CELL_022,RMa,11.12,29,0.176778,0.034279,normal,0.0,0.9985,48,28,0.85,0.9573,652.7,483.1
CELL_023,RIS,18.69,14,0.004226,0.001,normal,0.0,0.9906,48,13,0.893,0.9599,794.9,493.1
CELL_000,UMi,9.66,10,1.05571,0.223063,normal,0.0,0.9689,49,29,0.217,0.9422,61.4,50.1
CELL_001,UMa,15.41,31,0.288691,0.048349,normal,0.0,0.9875,49,28,0.691,0.9561,204.1,50.8
CELL_002,RMa,20.47,15,0.029248,0.002096,pilot_contamination,0.7104,0.1443,49,39,0.787,0.9172,345.9,40.9
CELL_003,UMa,17.55,8,0.002,0.001,normal,0.0,0.9968,49,9,0.729,0.9599,520.8,30.1
CELL_004,THz,13.23,4,0.00732,0.002116,normal,0.0,0.9811,49,22,0.307,0.9598,633.8,68.9
